site,date,pct_cover,nms,sp
Stillwater,2004-07-06,45,MBNMS,CHTBAL
Stillwater,2004-10-27,46,MBNMS,CHTBAL
Stillwater,2005-04-05,50.2,MBNMS,CHTBAL
Stillwater,2005-07-07,56.4,MBNMS,CHTBAL
Stillwater,2005-11-02,49.2,MBNMS,CHTBAL
Stillwater,2006-03-28,63.2,MBNMS,CHTBAL
Stillwater,2006-07-25,65,MBNMS,CHTBAL
Stillwater,2006-10-09,56.2,MBNMS,CHTBAL
Stillwater,2007-04-23,54.2,MBNMS,CHTBAL
Stillwater,2007-07-03,60.6,MBNMS,CHTBAL
Stillwater,2007-12-20,54.4,MBNMS,CHTBAL
Stillwater,2008-03-05,48.6,MBNMS,CHTBAL
Stillwater,2008-07-21,45.4,MBNMS,CHTBAL
Stillwater,2008-10-14,46.6,MBNMS,CHTBAL
Stillwater,2009-03-10,49.4,MBNMS,CHTBAL
Stillwater,2009-07-08,37.8,MBNMS,CHTBAL
Stillwater,2009-11-02,31.2,MBNMS,CHTBAL
Stillwater,2010-04-20,37.4,MBNMS,CHTBAL
Stillwater,2010-07-27,24.8,MBNMS,CHTBAL
Stillwater,2010-11-06,31.6,MBNMS,CHTBAL
Stillwater,2011-03-23,28.2,MBNMS,CHTBAL
Stillwater,2011-10-27,31.2,MBNMS,CHTBAL
Stillwater,2012-10-15,40.4,MBNMS,CHTBAL
Stillwater,2013-11-04,39.2,MBNMS,CHTBAL
Stillwater,2014-11-05,37.8,MBNMS,CHTBAL
Stillwater,2015-10-26,55,MBNMS,CHTBAL
Stillwater,2016-11-15,57,MBNMS,CHTBAL
Terrace Point,2002-11-18,19.6,MBNMS,CHTBAL
Terrace Point,2003-03-16,18.2,MBNMS,CHTBAL
Terrace Point,2003-07-01,22.4,MBNMS,CHTBAL
Terrace Point,2003-11-25,22.4,MBNMS,CHTBAL
Terrace Point,2004-03-14,22,MBNMS,CHTBAL
Terrace Point,2004-07-05,27.8,MBNMS,CHTBAL
Terrace Point,2004-10-16,23.8,MBNMS,CHTBAL
Terrace Point,2005-03-08,29.6,MBNMS,CHTBAL
Terrace Point,2005-07-09,32.2,MBNMS,CHTBAL
Terrace Point,2005-10-18,25.8,MBNMS,CHTBAL
Terrace Point,2006-04-20,19.8,MBNMS,CHTBAL
Terrace Point,2006-07-28,28.8,MBNMS,CHTBAL
Terrace Point,2006-10-08,28.2,MBNMS,CHTBAL
Terrace Point,2007-03-17,22.8,MBNMS,CHTBAL
Terrace Point,2007-07-04,30,MBNMS,CHTBAL
Terrace Point,2007-10-27,24.2,MBNMS,CHTBAL
Terrace Point,2008-03-03,20.8,MBNMS,CHTBAL
Terrace Point,2008-07-17,17.4,MBNMS,CHTBAL
Terrace Point,2008-10-17,14.4,MBNMS,CHTBAL
Terrace Point,2009-03-11,13.8,MBNMS,CHTBAL
Terrace Point,2009-07-07,12.8,MBNMS,CHTBAL
Terrace Point,2009-11-04,19.6,MBNMS,CHTBAL
Terrace Point,2010-03-24,14.8,MBNMS,CHTBAL
Terrace Point,2010-07-28,18.2,MBNMS,CHTBAL
Terrace Point,2010-10-23,19.6,MBNMS,CHTBAL
Terrace Point,2011-03-15,22.6,MBNMS,CHTBAL
Terrace Point,2011-10-29,17,MBNMS,CHTBAL
Terrace Point,2012-10-13,14.6,MBNMS,CHTBAL
Terrace Point,2013-10-20,18.4,MBNMS,CHTBAL
Terrace Point,2014-10-09,20.8,MBNMS,CHTBAL
Terrace Point,2015-11-11,36,MBNMS,CHTBAL
Terrace Point,2016-10-17,29,MBNMS,CHTBAL
Vista del Mar,2007-09-28,74.4,MBNMS,CHTBAL
Vista del Mar,2008-03-16,90,MBNMS,CHTBAL
Vista del Mar,2009-04-25,79,MBNMS,CHTBAL
Vista del Mar,2011-11-24,68.8,MBNMS,CHTBAL
Wilder Ranch,2007-10-11,15,MBNMS,CHTBAL
Wilder Ranch,2008-04-22,11.8,MBNMS,CHTBAL
Wilder Ranch,2009-04-03,10,MBNMS,CHTBAL
Wilder Ranch,2011-10-25,2.8,MBNMS,CHTBAL
MBNMS,2002-06-15,37.2,MBNMS,CHTBAL
MBNMS,2003-06-15,35.04705882352941,MBNMS,CHTBAL
MBNMS,2004-06-15,44.6,MBNMS,CHTBAL
MBNMS,2005-06-15,55.28888888888889,MBNMS,CHTBAL
MBNMS,2006-06-15,58.642105263157895,MBNMS,CHTBAL
MBNMS,2007-06-15,56.65576923076923,MBNMS,CHTBAL
MBNMS,2008-06-15,52.43703703703704,MBNMS,CHTBAL
MBNMS,2009-06-15,41.65925925925926,MBNMS,CHTBAL
MBNMS,2010-06-15,44.10526315789474,MBNMS,CHTBAL
MBNMS,2011-06-15,41.01904761904762,MBNMS,CHTBAL
MBNMS,2012-06-15,53.075,MBNMS,CHTBAL
MBNMS,2013-06-15,49.375,MBNMS,CHTBAL
MBNMS,2014-06-15,43.4,MBNMS,CHTBAL
MBNMS,2015-06-15,52.85,MBNMS,CHTBAL
MBNMS,2016-06-15,54.25714285714286,MBNMS,CHTBAL
